date,demand,price,promotion,day_of_week
2023-01-01,173,48.75,1,6
2023-01-02,120,54.51,1,0
2023-01-03,110,52.32,0,1
2023-01-04,100,50.99,0,2
2023-01-05,104,46.56,0,3
2023-01-06,137,46.56,0,4
2023-01-07,187,45.58,1,5
2023-01-08,138,53.66,0,6
2023-01-09,95,51.01,0,0
2023-01-10,101,52.08,0,1
2023-01-11,145,45.21,1,2
2023-01-12,103,54.7,0,3
2023-01-13,135,53.32,0,4
2023-01-14,181,47.12,1,5
2023-01-15,139,46.82,0,6
2023-01-16,103,46.83,0,0
2023-01-17,133,48.04,1,1
2023-01-18,136,50.25,1,2
2023-01-19,93,49.32,0,3
2023-01-20,141,47.91,0,4
2023-01-21,149,51.12,0,5
2023-01-22,143,46.39,0,6
2023-01-23,98,47.92,0,0
2023-01-24,94,48.66,0,1
2023-01-25,106,49.56,0,2
2023-01-26,99,52.85,0,3
2023-01-27,128,47.0,0,4
2023-01-28,145,50.14,0,5
2023-01-29,139,50.92,0,6
2023-01-30,114,45.46,0,0
2023-01-31,99,51.08,0,1
2023-02-01,97,46.71,0,2
2023-02-02,135,45.65,1,3
2023-02-03,126,54.49,0,4
2023-02-04,134,54.66,0,5
2023-02-05,138,53.08,0,6
2023-02-06,103,48.05,0,0
2023-02-07,109,45.98,0,1
2023-02-08,109,51.84,0,2
2023-02-09,108,49.4,0,3
2023-02-10,134,46.22,0,4
2023-02-11,147,49.95,0,5
2023-02-12,160,45.34,0,6
2023-02-13,98,54.09,0,0
2023-02-14,105,47.59,0,1
2023-02-15,101,51.63,0,2
2023-02-16,135,48.12,1,3
2023-02-17,131,50.2,0,4
2023-02-18,149,50.47,0,5
2023-02-19,143,46.85,0,6
2023-02-20,128,54.7,1,0
2023-02-21,127,52.75,1,1
2023-02-22,95,54.39,0,2
2023-02-23,99,53.95,0,3
2023-02-24,130,50.98,0,4
2023-02-25,156,54.22,0,5
2023-02-26,134,45.88,0,6
2023-02-27,111,46.96,0,0
2023-02-28,144,45.45,1,1
2023-03-01,94,48.25,0,2
2023-03-02,102,48.89,0,3
2023-03-03,134,47.71,0,4
2023-03-04,143,53.29,0,5
2023-03-05,141,48.57,0,6
2023-03-06,100,47.81,0,0
2023-03-07,112,50.43,0,1
2023-03-08,112,46.41,0,2
2023-03-09,107,53.02,0,3
2023-03-10,141,45.75,0,4
2023-03-11,173,54.87,1,5
2023-03-12,138,52.72,0,6
2023-03-13,109,46.99,0,0
2023-03-14,132,45.06,1,1
2023-03-15,104,53.15,0,2
2023-03-16,130,52.07,1,3
2023-03-17,130,52.29,0,4
2023-03-18,185,52.71,1,5
2023-03-19,150,45.74,0,6
2023-03-20,134,48.58,1,0
2023-03-21,114,46.16,0,1
2023-03-22,125,53.63,1,2
2023-03-23,106,51.23,0,3
2023-03-24,139,48.31,0,4
2023-03-25,187,45.64,1,5
2023-03-26,148,48.11,0,6
2023-03-27,100,48.25,0,0
2023-03-28,107,52.3,0,1
2023-03-29,102,51.38,0,2
2023-03-30,98,53.87,0,3
2023-03-31,140,49.72,0,4
2023-04-01,185,46.2,1,5
2023-04-02,135,52.13,0,6
2023-04-03,94,52.61,0,0
2023-04-04,137,50.61,1,1
2023-04-05,126,52.71,1,2
2023-04-06,114,49.94,0,3
2023-04-07,124,50.23,0,4
2023-04-08,164,49.28,0,5
2023-04-09,151,45.25,0,6
2023-04-10,108,46.08,0,0
2023-04-11,107,45.31,0,1
2023-04-12,106,51.36,0,2
2023-04-13,107,48.14,0,3
2023-04-14,171,50.09,1,4
2023-04-15,182,54.08,1,5
2023-04-16,149,47.49,0,6
2023-04-17,104,49.1,0,0
2023-04-18,103,52.56,0,1
2023-04-19,110,47.29,0,2
2023-04-20,101,45.77,0,3
2023-04-21,131,47.9,0,4
2023-04-22,193,46.61,1,5
2023-04-23,142,54.3,0,6
2023-04-24,132,53.08,1,0
2023-04-25,105,51.33,0,1
